what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1446710127025
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1446710136007
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1446710137573
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1446710141855
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1446710141892
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1446710163054
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1446710174845
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1446710184798
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1446710184845
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1446710343884
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1446710347920
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1446710394683
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1446710406866
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1446710454219
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1446710474386
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1446710505887
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1446710516311
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1446710529874
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1446710541920
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1446710545509
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1446710552563
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1446710552622
